no_of_hours,marks_obtained
37,42
36,98
53,48
31,70
44,68
54,78
57,74
53,63
42,58
55,57
37,68
40,72
58,42
48,88
54,60
54,100
58,61
44,56
57,54
55,93
36,96
49,61
35,59
54,98
60,96
53,56
43,50
41,78
33,93
31,53
44,76
48,71
33,70
44,73
34,71
53,91
56,82
47,82
51,63
42,75
42,77
47,70
50,84
42,47
55,73
32,60
50,96
37,87
57,40
57,61
39,63
48,95
31,47
31,64
41,52
36,94
60,91
58,94
31,71
49,41
55,99
48,100
53,99
60,86
57,53
44,65
60,54
41,92
53,61
41,54
47,44
34,40
58,60
42,41
55,61
56,98
50,87
52,44
38,71
45,76
58,78
30,95
58,87
50,42
57,51
52,53
47,73
58,62
59,82
59,51
36,85
34,47
34,67
37,90
46,47
36,83
34,84
34,88
44,40
36,88
